country,year,happiness_score,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,continent
Afghanistan,2023,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,0,0,Asia
Albania,2023,5.277,9.567,0.718,69.15,0.794,-0.007,0.878,0,0,Europe
Algeria,2023,5.329,9.3,0.855,66.549,0.571,-0.117,0.717,0,0,Africa
Argentina,2023,6.024,9.959,0.891,67.2,0.823,-0.089,0.814,0,0,South America
Armenia,2023,5.342,9.615,0.79,67.789,0.796,-0.155,0.705,0,0,Asia
Australia,2023,7.095,10.821,0.934,71.05,0.89,0.198,0.496,0,0,Australia
Austria,2023,7.097,10.899,0.888,71.15,0.855,0.102,0.497,0,0,Europe
Bahrain,2023,6.173,10.776,0.844,65.825,0.944,0.117,0.737,0,0,Asia
Bangladesh,2023,4.282,8.685,0.544,64.548,0.845,0.005,0.698,0,0,Asia
Belgium,2023,6.859,10.844,0.915,70.899,0.825,0.001,0.549,0,0,Europe
Benin,2023,4.374,8.103,0.437,56.095,0.743,-0.043,0.576,0,0,Africa
Bolivia,2023,5.684,8.985,0.811,63.599,0.868,-0.063,0.846,0,0,South America
Bosnia and Herzegovina,2023,5.633,9.616,0.88,67.275,0.746,0.206,0.918,0,0,Europe
Botswana,2023,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,0,0,Africa
Brazil,2023,6.125,9.582,0.836,65.749,0.801,-0.009,0.738,0,0,South America
Bulgaria,2023,5.466,10.087,0.918,66.5,0.801,-0.057,0.911,0,0,Europe
Burkina Faso,2023,4.638,7.667,0.663,55.461,0.696,0.095,0.771,0,0,Africa
Cambodia,2023,4.393,8.385,0.747,61.9,0.958,0.073,0.857,0,0,Asia
Cameroon,2023,4.973,8.217,0.686,55.847,0.686,0.015,0.846,0,0,Africa
Canada,2023,6.961,10.773,0.929,71.4,0.874,0.153,0.42,0,0,North America
Chad,2023,4.397,7.261,0.722,53.125,0.677,0.221,0.807,0,0,Africa
Chile,2023,6.334,10.114,0.889,70.3,0.792,-0.011,0.823,0,0,South America
China,2023,5.818,9.738,0.836,68.689,0.882,-0.041,0.727,0,0,Asia
Colombia,2023,5.63,9.584,0.822,69.35,0.804,-0.104,0.834,0,0,South America
Comoros,2023,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,0,0,Africa
Congo,2023,5.267,8.095,0.605,56.85,0.73,-0.004,0.739,0,0,Africa
Costa Rica,2023,6.609,9.952,0.872,70,0.895,-0.07,0.768,0,0,North America
Croatia,2023,6.125,10.341,0.917,68.95,0.757,-0.093,0.925,0,0,Europe
Cyprus,2023,6.13,10.611,0.826,72.802,0.724,-0.06,0.86,0,0,Asia
Czechia,2023,6.845,10.611,0.953,69.05,0.903,0.04,0.859,0,0,Europe
Democratic Republic of the Congo,2023,3.207,7.007,0.652,55.375,0.664,0.086,0.834,0,0,Africa
Denmark,2023,7.586,10.962,0.954,71.25,0.934,0.134,0.196,0,0,Europe
Dominican Republic,2023,5.569,9.811,0.827,64.399,0.85,-0.099,0.657,0,0,North America
Ecuador,2023,5.559,9.27,0.806,69,0.802,-0.108,0.833,0,0,South America
Egypt,2023,4.17,9.367,0.726,63.503,0.732,-0.183,0.58,0,0,Africa
El Salvador,2023,6.122,9.089,0.755,65.597,0.918,-0.108,0.62,0,0,North America
Estonia,2023,6.455,10.541,0.946,69.65,0.929,0.032,0.409,0,0,Europe
Ethiopia,2023,4.091,7.739,0.782,60.698,0.72,0.273,0.789,0,0,Africa
Finland,2023,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,0,0,Europe
France,2023,6.661,10.701,0.909,72.3,0.819,-0.1,0.553,0,0,Europe
Gabon,2023,5.035,9.537,0.746,58.252,0.642,-0.187,0.786,0,0,Africa
Gambia,2023,4.279,7.648,0.584,57.9,0.596,0.364,0.883,0,0,Africa
Georgia,2023,5.109,9.646,0.716,64.95,0.786,-0.254,0.649,0,0,Asia
Germany,2023,6.892,10.879,0.896,71.3,0.846,0.03,0.42,0,0,Europe
Ghana,2023,4.605,8.596,0.641,58.763,0.777,0.139,0.881,0,0,Africa
Greece,2023,5.931,10.288,0.835,71.15,0.568,-0.24,0.793,0,0,Europe
Guatemala,2023,6.15,9.116,0.812,62.9,0.856,-0.057,0.837,0,0,North America
Honduras,2023,6.023,8.635,0.766,64.063,0.843,0.097,0.843,0,0,North America
Hong Kong S.A.R. of China,2023,5.308,10.966,0.817,77.28,0.687,-0.026,0.385,0,0,Asia
Hungary,2023,6.041,10.419,0.943,67.5,0.758,-0.059,0.839,0,0,Europe
Iceland,2023,7.53,10.896,0.983,72.05,0.936,0.211,0.668,0,0,Europe
India,2023,4.036,8.759,0.608,60.777,0.897,0.072,0.774,0,0,Asia
Indonesia,2023,5.277,9.385,0.804,63.048,0.88,0.531,0.876,0,0,Asia
Iran,2023,4.876,9.61,0.778,66.6,0.593,0.173,0.747,0,0,Asia
Iraq,2023,4.941,9.098,0.718,63.415,0.646,-0.005,0.876,0,0,Asia
Ireland,2023,6.911,11.527,0.905,71.3,0.874,0.092,0.358,0,0,Europe
Israel,2023,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,0,0,Asia
Italy,2023,6.405,10.634,0.882,72.05,0.711,-0.074,0.842,0,0,Europe
Ivory Coast,2023,5.053,8.576,0.572,55.953,0.733,0.003,0.746,0,0,Africa
Jamaica,2023,5.703,9.165,0.867,66.6,0.822,-0.106,0.875,0,0,North America
Japan,2023,6.129,10.616,0.894,74.349,0.799,-0.237,0.64,0,0,Asia
Jordan,2023,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,0,0,Asia
Kazakhstan,2023,6.144,10.166,0.931,65.802,0.853,0,0.721,0,0,Asia
Kenya,2023,4.487,8.458,0.69,58.499,0.696,0.288,0.852,0,0,Africa
Kosovo,2023,6.368,9.359,0.844,65.195,0.861,0.259,0.866,0,0,Europe
Kyrgyzstan,2023,5.825,8.486,0.911,66.852,0.934,0.181,0.904,0,0,Asia
Laos,2023,5.111,8.962,0.679,60.946,0.919,0.091,0.703,0,0,Asia
Latvia,2023,6.213,10.37,0.937,66.4,0.818,-0.056,0.83,0,0,Europe
Lebanon,2023,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,0,0,Asia
Liberia,2023,4.042,7.277,0.596,56.7,0.735,0.154,0.83,0,0,Africa
Lithuania,2023,6.763,10.568,0.939,67.397,0.748,-0.145,0.805,0,0,Europe
Luxembourg,2023,7.228,11.66,0.879,71.675,0.915,0.024,0.345,0,0,Europe
Madagascar,2023,4.019,7.29,0.65,58.05,0.522,0.075,0.742,0,0,Africa
Malawi,2023,3.495,7.302,0.531,58.475,0.75,0.005,0.749,0,0,Africa
Malaysia,2023,6.012,10.169,0.799,65.662,0.877,0.16,0.758,0,0,Asia
Mali,2023,4.198,7.655,0.593,55.403,0.713,-0.028,0.846,0,0,Africa
Malta,2023,6.3,10.661,0.923,71.6,0.886,0.119,0.729,0,0,Europe
Mauritania,2023,4.724,8.591,0.644,60.475,0.622,-0.013,0.657,0,0,Africa
Mauritius,2023,5.902,9.957,0.888,63.85,0.813,-0.028,0.775,0,0,Africa
Mexico,2023,6.33,9.85,0.804,65.8,0.856,-0.094,0.768,0,0,North America
Moldova,2023,5.819,9.499,0.857,65.299,0.84,-0.08,0.901,0,0,Europe
Mongolia,2023,5.84,9.372,0.933,60.5,0.701,0.19,0.849,0,0,Asia
Montenegro,2023,5.722,9.813,0.89,67.1,0.805,0.063,0.844,0,0,Europe
Morocco,2023,4.903,8.973,0.553,63.901,0.787,-0.231,0.811,0,0,Africa
Mozambique,2023,4.954,7.116,0.692,51.53,0.851,0.047,0.66,0,0,Africa
Myanmar,2023,4.372,8.404,0.787,61.388,0.727,0.491,0.658,0,0,Asia
Namibia,2023,4.631,9.121,0.787,56.851,0.669,-0.126,0.83,0,0,Africa
Nepal,2023,5.36,8.256,0.748,61.847,0.808,0.146,0.783,0,0,Asia
Netherlands,2023,7.403,10.942,0.93,71.55,0.887,0.213,0.379,0,0,Europe
New Zealand,2023,7.123,10.662,0.952,70.35,0.887,0.175,0.271,0,0,Australia
Nicaragua,2023,6.259,8.618,0.853,65.65,0.877,0.021,0.625,0,0,North America
Niger,2023,4.501,7.091,0.59,56.55,0.788,0.032,0.734,0,0,Africa
Nigeria,2023,4.981,8.496,0.74,54.891,0.718,0.073,0.911,0,0,Africa
North Macedonia,2023,5.254,9.703,0.805,66.5,0.769,0.131,0.902,0,0,Europe
Norway,2023,7.315,11.088,0.943,71.5,0.947,0.141,0.283,0,0,Europe
Pakistan,2023,4.555,8.54,0.601,57.313,0.766,0.008,0.787,0,0,Asia
Panama,2023,6.265,10.305,0.896,68.95,0.855,-0.133,0.878,0,0,North America
Papua New Guinea,2023,5.072,7.88,0.649,54.185,0.659,0.125,0.787,0,0,Australia
Paraguay,2023,5.738,9.51,0.906,65.9,0.891,0.021,0.843,0,0,South America
Peru,2023,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,0,0,South America
Philippines,2023,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,0,0,Asia
Poland,2023,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,0,0,Europe
Portugal,2023,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,0,0,Europe
Romania,2023,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,0,0,Europe
Russia,2023,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,0,0,Europe
Saudi Arabia,2023,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,0,0,Asia
Senegal,2023,4.855,8.155,0.629,59.999,0.772,0.011,0.846,0,0,Africa
Serbia,2023,6.144,9.854,0.873,67.088,0.845,0.204,0.816,0,0,Europe
Sierra Leone,2023,3.138,7.394,0.555,54.9,0.66,0.105,0.858,0,0,Africa
Singapore,2023,6.587,11.571,0.878,73.8,0.878,0.063,0.146,0,0,Asia
Slovakia,2023,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,0,0,Europe
Slovenia,2023,6.65,10.588,0.951,71.052,0.913,0.014,0.771,0,0,Europe
South Africa,2023,5.275,9.478,0.907,56.989,0.73,-0.087,0.902,0,0,Africa
South Korea,2023,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,0,0,Asia
Spain,2023,6.436,10.54,0.932,72.35,0.782,-0.066,0.711,0,0,Europe
Sri Lanka,2023,4.442,9.491,0.826,67.15,0.787,-0.03,0.808,0,0,Asia
State of Palestine,2023,4.908,8.716,0.859,,0.694,-0.132,0.836,0,0,Asia
Sweden,2023,7.395,10.883,0.939,72.15,0.948,0.165,0.202,0,0,Europe
Switzerland,2023,7.24,11.164,0.92,72.9,0.891,0.027,0.266,0,0,Europe
Taiwan,2023,6.535,10.797,0.884,69.6,0.804,-0.129,0.681,0,0,Asia
Tajikistan,2023,5.33,8.237,0.836,62.226,0.832,-0.06,0.522,0,0,Asia
Tanzania,2023,3.694,7.857,0.653,59.401,0.838,0.182,0.554,0,0,Africa
Thailand,2023,5.843,9.751,0.874,68.45,0.85,0.289,0.91,0,0,Asia
Togo,2023,4.137,7.673,0.595,57.449,0.657,0.024,0.74,0,0,Africa
Tunisia,2023,4.497,9.244,0.73,67,0.576,-0.213,0.907,0,0,Africa
Turkey,2023,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,0,0,Asia
Uganda,2023,4.432,7.716,0.794,58.913,0.701,0.114,0.857,0,0,Africa
Ukraine,2023,5.071,9.314,0.878,64.55,0.795,0.24,0.907,0,0,Europe
United Arab Emirates,2023,6.571,11.145,0.826,66.243,0.942,0.096,0.584,0,0,Asia
United Kingdom,2023,6.796,10.704,0.882,70.3,0.852,0.253,0.454,0,0,Europe
United States of America,2023,6.894,11.048,0.919,65.85,0.8,0.137,0.689,0,0,North America
Uruguay,2023,6.494,10.037,0.913,67.5,0.895,-0.065,0.575,0,0,South America
Uzbekistan,2023,6.014,8.948,0.875,65.301,0.938,0.23,0.638,0,0,Asia
Venezuela,2023,5.211,5.527,0.839,64.05,0.659,0.128,0.811,0,0,South America
Vietnam,2023,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,0,0,Asia
Zambia,2023,3.982,8.074,0.694,55.032,0.791,0.098,0.818,0,0,Africa
Zimbabwe,2023,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,0,0,Africa
,,,,,,,,,,,