country,year,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,upperwhisker,lowerwhisker,Dystopia + residual,continent
Turkmenistan,2022,5.474,1.484,1.319,0.516,0.649,0.314,0.032,5.578,5.371,1.078,Asia
North Cyprus,2022,5.467,1.815,0.888,0.819,0.523,0.130,0.213,5.609,5.325,1.494,Asia
Russia,2022,5.459,1.685,1.095,0.586,0.401,0.117,0.080,5.525,5.392,0.642,Europe
Hong Kong S.A.R. of China,2022,5.425,1.957,0.954,0.942,0.400,0.147,0.383,5.501,5.348,1.654,Asia
Armenia,2022,5.399,1.434,0.820,0.668,0.558,0.054,0.210,5.519,5.278,1.895,Asia
Tajikistan,2022,5.377,0.966,1.005,0.518,0.572,0.118,0.304,5.468,5.287,2.224,Asia
Nepal,2022,5.377,0.984,0.784,0.499,0.519,0.237,0.130,5.502,5.251,1.235,Asia
Bulgaria,2022,5.371,1.625,1.163,0.640,0.563,0.123,0.021,5.485,5.257,1.544,Europe
Libya,2022,5.330,1.476,0.943,0.606,0.477,0.106,0.179,5.543,5.118,1.300,Africa
Indonesia,2022,5.240,1.382,0.883,0.539,0.620,0.468,0.047,5.341,5.139,2.652,Asia
Ivory Coast,2022,5.235,1.094,0.442,0.322,0.451,0.149,0.124,5.384,5.085,1.461,Africa
North Macedonia,2022,5.199,1.505,0.863,0.637,0.488,0.215,0.031,5.303,5.095,1.718,Europe
Albania,2022,5.199,1.439,0.646,0.719,0.511,0.138,0.028,5.321,5.076,1.742,Europe
South Africa,2022,5.194,1.425,1.088,0.361,0.442,0.089,0.046,5.315,5.073,1.098,Africa
Azerbaijan,2022,5.173,1.458,1.093,0.560,0.601,0.023,0.341,5.265,5.082,2.531,Asia
Gambia,2022,5.164,0.785,0.621,0.369,0.367,0.388,0.103,5.409,4.918,1.967,Africa
Bangladesh,2022,5.155,1.060,0.614,0.581,0.622,0.125,0.187,5.262,5.049,1.709,Asia
Laos,2022,5.140,1.239,0.654,0.479,0.679,0.197,0.184,5.263,5.018,1.744,Asia
Algeria,2022,5.122,1.363,0.970,0.643,0.146,0.106,0.150,5.215,5.030,2.844,Africa
Liberia,2022,5.122,0.636,0.670,0.309,0.405,0.178,0.080,5.428,4.815,1.331,Africa
Ukraine,2022,5.084,1.411,1.081,0.583,0.473,0.188,0.017,5.190,4.978,2.658,Europe
Congo,2022,5.075,0.950,0.405,0.355,0.431,0.130,0.146,5.235,4.915,2.405,Africa
Morocco,2022,5.060,1.208,0.268,0.565,0.492,0.020,0.102,5.181,4.938,2.641,Africa
Mozambique,2022,5.048,0.578,0.660,0.191,0.593,0.185,0.200,5.273,4.823,2.469,Africa
Cameroon,2022,5.048,0.968,0.672,0.317,0.397,0.152,0.074,5.188,4.907,2.419,Africa
Senegal,2022,5.046,0.933,0.530,0.447,0.494,0.143,0.081,5.171,4.921,2.667,Africa
Niger,2022,5.003,0.570,0.560,0.326,0.571,0.165,0.145,5.247,4.760,1.583,Africa
Georgia,2022,4.973,1.467,0.612,0.595,0.508,0.000,0.208,5.079,4.867,1.892,Asia
Gabon,2022,4.958,1.459,0.738,0.396,0.343,0.032,0.099,5.091,4.826,1.894,Africa
Iraq,2022,4.941,1.289,0.682,0.554,0.328,0.147,0.046,5.099,4.783,2.790,Asia
Venezuela,2022,4.925,0.000,0.968,0.578,0.283,0.225,0.082,5.051,4.800,2.538,South America
Guinea,2022,4.891,0.848,0.566,0.275,0.334,0.214,0.116,5.028,4.753,1.427,Africa
Iran,2022,4.888,1.410,0.741,0.642,0.281,0.241,0.146,4.995,4.780,1.972,Asia
Ghana,2022,4.872,1.112,0.595,0.409,0.500,0.230,0.056,4.999,4.745,1.059,Africa
Turkey,2022,4.744,1.707,0.865,0.702,0.209,0.087,0.115,4.845,4.644,2.313,Asia
Burkina Faso,2022,4.670,0.779,0.565,0.320,0.382,0.186,0.126,4.814,4.527,1.410,Africa
Cambodia,2022,4.640,1.019,0.732,0.505,0.740,0.166,0.068,4.765,4.516,2.458,Asia
Benin,2022,4.623,0.932,0.064,0.335,0.479,0.127,0.230,4.754,4.492,2.304,Africa
Comoros,2022,4.609,0.899,0.476,0.424,0.185,0.195,0.125,4.849,4.368,1.842,Africa
Uganda,2022,4.603,0.777,0.875,0.418,0.402,0.222,0.066,4.747,4.459,1.784,Africa
Nigeria,2022,4.552,1.079,0.732,0.300,0.444,0.175,0.038,4.651,4.453,1.661,Africa
Kenya,2022,4.543,1.032,0.605,0.401,0.440,0.322,0.082,4.683,4.403,1.540,Africa
Tunisia,2022,4.516,1.350,0.596,0.656,0.316,0.029,0.029,4.629,4.403,1.940,Africa
Pakistan,2022,4.516,1.049,0.413,0.374,0.448,0.181,0.112,4.634,4.397,1.368,Asia
Palestinian Territories,2022,4.483,1.148,0.957,0.521,0.336,0.073,0.079,4.665,4.300,2.373,Asia
Mali,2022,4.479,0.792,0.483,0.311,0.350,0.128,0.042,4.611,4.347,1.414,Africa
Namibia,2022,4.459,1.292,0.877,0.354,0.384,0.067,0.071,4.593,4.326,1.688,Africa
"Eswatini, Kingdom of",2022,4.396,1.274,0.786,0.197,0.259,0.038,0.154,4.607,4.185,0.877,Africa
Myanmar,2022,4.394,1.038,0.829,0.491,0.513,0.452,0.194,4.511,4.277,0.595,Asia
Sri Lanka,2022,4.362,1.415,0.934,0.660,0.529,0.150,0.079,4.487,4.237,2.148,Asia
Madagascar,2022,4.339,0.670,0.645,0.378,0.202,0.143,0.154,4.530,4.148,0.856,Africa
Egypt,2022,4.288,1.388,0.732,0.548,0.469,0.041,0.254,4.377,4.198,2.419,Africa
Chad*,2022,4.251,0.662,0.506,0.225,0.180,0.182,0.077,4.503,3.999,1.375,Africa
Ethiopia,2022,4.241,0.788,0.809,0.457,0.472,0.205,0.136,4.365,4.118,1.561,Africa
Yemen*,2022,4.197,0.691,1.043,0.384,0.330,0.090,0.098,4.384,4.010,1.207,Asia
Mauritania,2022,4.153,1.100,0.865,0.450,0.304,0.088,0.138,4.356,3.950,0.695,Africa
Jordan,2022,4.152,1.324,0.724,0.675,0.476,0.058,0.200,4.276,4.029,2.061,Asia
Togo,2022,4.112,0.771,0.322,0.360,0.292,0.174,0.132,4.272,3.953,0.795,Africa
India,2022,3.777,1.167,0.376,0.471,0.647,0.198,0.123,3.828,3.726,1.135,Asia
Zambia,2022,3.760,0.930,0.577,0.306,0.525,0.203,0.083,3.902,3.618,1.661,Africa
Malawi,2022,3.750,0.648,0.279,0.388,0.477,0.140,0.157,3.941,3.560,0.735,Africa
Tanzania,2022,3.702,0.848,0.597,0.425,0.578,0.248,0.270,3.847,3.558,1.556,Africa
Sierra Leone,2022,3.574,0.686,0.416,0.273,0.387,0.202,0.055,3.732,3.416,1.312,Africa
Lesotho,2022,3.512,0.839,0.848,0.000,0.419,0.076,0.018,3.748,3.276,0.187,Africa
Botswana,2022,3.471,1.503,0.815,0.280,0.571,0.012,0.102,3.667,3.275,0.536,Africa
Rwanda,2022,3.268,0.785,0.133,0.462,0.621,0.187,0.544,3.462,3.074,0.548,Africa
Zimbabwe,2022,2.995,0.947,0.690,0.270,0.329,0.106,0.105,3.110,2.880,0.216,Africa
Lebanon,2022,2.955,1.392,0.498,0.631,0.103,0.082,0.034,3.049,2.862,1.263,Asia
Afghanistan,2022,2.404,0.758,0.000,0.289,0.000,0.089,0.005,2.469,2.339,1.263,Asia
Finland,2021,7.842,1.446,1.106,0.741,0.691,0.124,0.481,7.904,7.780,3.253,Europe
Denmark,2021,7.620,1.502,1.108,0.763,0.686,0.208,0.485,7.687,7.552,2.868,Europe
Switzerland,2021,7.571,1.566,1.079,0.816,0.653,0.204,0.413,7.643,7.500,2.839,Europe
Iceland,2021,7.554,1.482,1.172,0.772,0.698,0.293,0.170,7.670,7.438,2.967,Europe
Netherlands,2021,7.464,1.501,1.079,0.753,0.647,0.302,0.384,7.518,7.410,2.798,Europe
Norway,2021,7.392,1.543,1.108,0.782,0.703,0.249,0.427,7.462,7.323,2.580,Europe
Sweden,2021,7.363,1.478,1.062,0.763,0.685,0.244,0.448,7.433,7.293,2.683,Europe
Luxembourg,2021,7.324,1.751,1.003,0.760,0.639,0.166,0.353,7.396,7.252,2.653,Europe
New Zealand,2021,7.277,1.400,1.094,0.785,0.665,0.276,0.445,7.355,7.198,2.612,Australia
Austria,2021,7.268,1.492,1.062,0.782,0.640,0.215,0.292,7.337,7.198,2.784,Europe
Australia,2021,7.183,1.453,1.076,0.801,0.647,0.291,0.317,7.265,7.102,2.598,Australia
Israel,2021,7.157,1.376,1.074,0.788,0.509,0.208,0.119,7.224,7.090,3.083,Asia
Germany,2021,7.155,1.480,0.993,0.757,0.600,0.195,0.306,7.232,7.077,2.824,Europe
Canada,2021,7.103,1.447,1.044,0.798,0.648,0.246,0.335,7.185,7.021,2.585,North America
Ireland,2021,7.085,1.644,1.092,0.753,0.606,0.238,0.367,7.164,7.006,2.384,Europe
Costa Rica,2021,7.069,1.134,0.966,0.722,0.673,0.105,0.083,7.179,6.960,3.387,North America
United Kingdom,2021,7.064,1.423,1.062,0.757,0.580,0.340,0.306,7.138,6.990,2.596,Europe
Czech Republic,2021,6.965,1.370,1.090,0.703,0.580,0.052,0.046,7.062,6.868,3.124,Europe
United States,2021,6.951,1.533,1.030,0.621,0.554,0.252,0.154,7.047,6.856,2.807,North America
Belgium,2021,6.834,1.463,0.998,0.747,0.489,0.088,0.187,6.901,6.767,2.862,Europe
France,2021,6.690,1.421,1.081,0.804,0.536,0.092,0.235,6.762,6.618,2.521,Europe
Bahrain,2021,6.647,1.409,0.899,0.662,0.661,0.246,0.139,6.779,6.514,2.631,Asia
Malta,2021,6.602,1.411,1.055,0.747,0.664,0.275,0.183,6.688,6.516,2.268,Europe
Taiwan Province of China,2021,6.584,1.480,0.982,0.665,0.490,0.142,0.139,6.659,6.510,2.687,Asia
United Arab Emirates,2021,6.561,1.555,0.860,0.594,0.670,0.236,0.223,6.637,6.484,2.422,Asia
Saudi Arabia,2021,6.494,1.435,0.964,0.571,0.603,0.090,0.163,6.604,6.384,2.668,Asia
Spain,2021,6.491,1.375,1.057,0.826,0.462,0.135,0.124,6.574,6.408,2.513,Europe
Italy,2021,6.483,1.393,0.940,0.798,0.379,0.133,0.047,6.572,6.395,2.794,Europe
Slovenia,2021,6.461,1.360,1.093,0.722,0.690,0.122,0.085,6.546,6.376,2.388,Europe
Guatemala,2021,6.435,0.845,0.790,0.519,0.638,0.163,0.105,6.577,6.292,3.375,North America
Uruguay,2021,6.431,1.164,1.042,0.649,0.625,0.128,0.223,6.521,6.341,2.600,South America
Singapore,2021,6.377,1.695,1.019,0.897,0.664,0.176,0.547,6.460,6.293,1.379,Asia
Kosovo,2021,6.372,0.937,0.807,0.483,0.593,0.356,0.014,6.487,6.257,3.182,Europe
Slovakia,2021,6.331,1.304,1.066,0.653,0.468,0.107,0.018,6.411,6.251,2.714,Europe
Brazil,2021,6.330,1.028,0.944,0.571,0.514,0.142,0.117,6.415,6.245,3.015,South America
Mexico,2021,6.317,1.126,0.830,0.634,0.585,0.092,0.089,6.420,6.213,2.961,North America
Jamaica,2021,6.309,0.891,0.932,0.599,0.618,0.099,0.035,6.615,6.004,3.135,North America
Lithuania,2021,6.255,1.350,1.065,0.612,0.476,0.056,0.073,6.344,6.167,2.624,Europe
Cyprus,2021,6.223,1.377,0.765,0.801,0.464,0.178,0.061,6.319,6.128,2.578,Asia
Estonia,2021,6.189,1.344,1.079,0.640,0.641,0.119,0.263,6.263,6.115,2.103,Europe
Panama,2021,6.180,1.298,0.976,0.667,0.596,0.079,0.053,6.323,6.036,2.509,North America
Uzbekistan,2021,6.179,0.769,1.027,0.528,0.716,0.391,0.271,6.312,6.045,2.477,Asia
Chile,2021,6.172,1.200,0.946,0.678,0.438,0.159,0.070,6.262,6.081,2.682,South America
Poland,2021,6.166,1.309,0.982,0.668,0.558,0.080,0.130,6.245,6.087,2.438,Europe
Kazakhstan,2021,6.152,1.230,1.103,0.527,0.573,0.143,0.132,6.243,6.060,2.446,Asia
Romania,2021,6.140,1.275,0.832,0.595,0.564,0.045,0.001,6.253,6.027,2.830,Europe
Kuwait,2021,6.106,1.461,0.857,0.580,0.591,0.120,0.130,6.235,5.977,2.368,Asia
Serbia,2021,6.078,1.101,0.924,0.634,0.482,0.189,0.066,6.181,5.974,2.682,Europe
El Salvador,2021,6.061,0.845,0.675,0.565,0.615,0.116,0.160,6.188,5.933,3.085,North America
Mauritius,2021,6.049,1.178,0.996,0.574,0.590,0.153,0.096,6.165,5.933,2.462,Africa
Latvia,2021,6.032,1.285,1.047,0.587,0.405,0.082,0.089,6.103,5.961,2.536,Europe
Colombia,2021,6.012,1.021,0.866,0.615,0.554,0.100,0.063,6.132,5.892,2.794,South America
Hungary,2021,5.992,1.301,1.083,0.615,0.454,0.067,0.040,6.085,5.899,2.432,Europe
Thailand,2021,5.985,1.107,0.957,0.596,0.611,0.375,0.028,6.077,5.893,2.309,Asia
Nicaragua,2021,5.972,0.693,0.904,0.604,0.553,0.201,0.176,6.134,5.810,2.841,North America
Japan,2021,5.940,1.389,0.949,0.838,0.504,0.020,0.192,6.020,5.861,2.048,Asia
Argentina,2021,5.929,1.162,0.980,0.646,0.544,0.069,0.067,6.040,5.819,2.461,South America
Portugal,2021,5.929,1.323,0.939,0.760,0.621,0.029,0.033,6.037,5.821,2.225,Europe
Honduras,2021,5.919,0.703,0.787,0.593,0.578,0.241,0.083,6.081,5.758,2.934,North America
Croatia,2021,5.882,1.251,1.039,0.703,0.453,0.111,0.000,5.975,5.788,2.325,Europe
Philippines,2021,5.880,0.853,0.828,0.426,0.651,0.125,0.126,5.982,5.778,2.872,Asia
South Korea,2021,5.845,1.403,0.758,0.801,0.353,0.134,0.135,5.928,5.763,2.262,Asia
Peru,2021,5.840,0.986,0.833,0.623,0.536,0.087,0.031,5.988,5.692,2.744,South America
Bosnia and Herzegovina,2021,5.813,1.032,0.919,0.618,0.395,0.261,0.005,5.911,5.715,2.583,Europe
Moldova,2021,5.766,0.985,0.888,0.542,0.536,0.137,0.013,5.856,5.677,2.665,Europe
Ecuador,2021,5.764,0.935,0.806,0.640,0.560,0.107,0.062,5.875,5.653,2.653,South America
Kyrgyzstan,2021,5.744,0.665,0.971,0.501,0.673,0.266,0.020,5.834,5.653,2.648,Asia
Greece,2021,5.723,1.273,0.811,0.760,0.243,0.000,0.074,5.813,5.632,2.561,Europe
Bolivia,2021,5.716,0.842,0.782,0.486,0.600,0.138,0.064,5.819,5.613,2.805,South America
Mongolia,2021,5.677,0.966,1.065,0.442,0.397,0.263,0.053,5.760,5.595,2.492,Asia
Paraguay,2021,5.653,0.983,0.970,0.549,0.602,0.206,0.037,5.832,5.473,2.306,South America
Montenegro,2021,5.581,1.155,0.891,0.637,0.397,0.166,0.081,5.686,5.475,2.254,Europe
Dominican Republic,2021,5.545,1.106,0.879,0.555,0.581,0.101,0.144,5.685,5.405,2.178,North America
North Cyprus,2021,5.536,1.377,0.806,0.801,0.503,0.196,0.200,5.636,5.435,1.653,Asia
Belarus,2021,5.534,1.124,1.007,0.560,0.326,0.070,0.199,5.625,5.442,2.247,Europe
Russia,2021,5.477,1.241,0.992,0.511,0.409,0.115,0.060,5.541,5.413,2.148,Europe
Hong Kong S.A.R. of China,2021,5.477,1.525,0.841,0.893,0.408,0.232,0.342,5.573,5.380,1.236,Asia
Tajikistan,2021,5.466,0.508,0.895,0.498,0.548,0.152,0.247,5.532,5.400,2.619,Asia
Vietnam,2021,5.411,0.817,0.873,0.616,0.679,0.124,0.091,5.488,5.334,2.211,Asia
Libya,2021,5.410,1.044,0.821,0.435,0.474,0.131,0.174,5.558,5.262,2.331,Africa
Malaysia,2021,5.384,1.259,0.797,0.587,0.624,0.270,0.064,5.480,5.289,1.784,Asia
Indonesia,2021,5.345,0.954,0.786,0.433,0.598,0.541,0.046,5.454,5.235,1.987,Asia
Congo (Brazzaville),2021,5.342,0.518,0.392,0.307,0.381,0.144,0.124,5.533,5.151,3.476,Africa
China,2021,5.339,1.061,0.785,0.665,0.636,0.093,0.117,5.397,5.281,1.982,Asia
Ivory Coast,2021,5.306,0.669,0.409,0.052,0.438,0.177,0.092,5.460,5.152,3.469,Africa
Armenia,2021,5.283,0.996,0.758,0.585,0.540,0.079,0.198,5.397,5.168,2.127,Asia
Nepal,2021,5.269,0.519,0.702,0.496,0.488,0.287,0.135,5.406,5.132,2.642,Asia
Bulgaria,2021,5.266,1.181,1.055,0.583,0.494,0.125,0.005,5.371,5.160,1.823,Europe
Maldives,2021,5.198,1.115,1.015,0.697,0.575,0.204,0.073,5.339,5.057,1.520,Asia
Azerbaijan,2021,5.171,1.025,0.841,0.541,0.526,0.043,0.276,5.250,5.091,1.919,Asia
Cameroon,2021,5.142,0.543,0.556,0.159,0.425,0.205,0.058,5.288,4.996,3.195,Africa
Senegal,2021,5.132,0.518,0.558,0.357,0.381,0.158,0.088,5.266,4.998,3.071,Africa
Albania,2021,5.117,1.008,0.529,0.646,0.491,0.168,0.024,5.234,5.001,2.250,Europe
North Macedonia,2021,5.101,1.068,0.772,0.535,0.450,0.212,0.022,5.202,5.001,2.042,Europe
Ghana,2021,5.088,0.680,0.595,0.287,0.517,0.268,0.058,5.219,4.958,2.684,Africa
Niger,2021,5.074,0.162,0.402,0.167,0.516,0.200,0.157,5.273,4.875,3.470,Africa
Turkmenistan,2021,5.066,1.046,1.172,0.439,0.602,0.366,0.033,5.136,4.996,1.409,Asia
Gambia,2021,5.051,0.367,0.511,0.210,0.384,0.465,0.123,5.225,4.877,2.990,Africa
Benin,2021,5.045,0.507,0.058,0.196,0.457,0.166,0.178,5.189,4.901,3.482,Africa
Laos,2021,5.030,0.808,0.598,0.330,0.643,0.268,0.179,5.119,4.941,2.204,Asia
Bangladesh,2021,5.025,0.635,0.520,0.514,0.603,0.161,0.164,5.115,4.934,2.427,Asia
Guinea,2021,4.984,0.420,0.399,0.206,0.384,0.250,0.111,5.160,4.808,3.216,Africa
South Africa,2021,4.956,0.967,0.895,0.265,0.447,0.144,0.051,5.074,4.839,2.187,Africa
Turkey,2021,4.948,1.260,0.809,0.590,0.236,0.097,0.104,5.038,4.857,1.852,Asia
Pakistan,2021,4.934,0.637,0.423,0.322,0.418,0.252,0.097,5.066,4.802,2.784,Asia
Morocco,2021,4.918,0.792,0.219,0.558,0.477,0.034,0.088,5.036,4.800,2.749,Africa
Venezuela,2021,4.892,0.852,0.897,0.574,0.284,0.078,0.072,5.017,4.767,2.135,South America
Georgia,2021,4.891,1.030,0.470,0.498,0.488,0.032,0.181,4.998,4.785,2.191,Asia
Algeria,2021,4.887,0.946,0.765,0.552,0.119,0.144,0.120,4.991,4.783,2.242,Africa
Ukraine,2021,4.875,0.979,0.958,0.517,0.417,0.181,0.010,4.977,4.773,1.813,Europe
Iraq,2021,4.854,0.910,0.638,0.381,0.302,0.153,0.041,4.970,4.738,2.429,Asia
Gabon,2021,4.852,1.037,0.707,0.362,0.424,0.058,0.064,4.998,4.706,2.201,Africa
Burkina Faso,2021,4.834,0.364,0.472,0.179,0.381,0.182,0.122,4.993,4.675,3.133,Africa
Cambodia,2021,4.830,0.603,0.680,0.426,0.702,0.210,0.061,4.963,4.698,2.148,Asia
Mozambique,2021,4.794,0.183,0.634,0.196,0.608,0.228,0.163,4.997,4.592,2.783,Africa
Nigeria,2021,4.759,0.663,0.625,0.051,0.433,0.212,0.039,4.861,4.658,2.736,Africa
Mali,2021,4.723,0.387,0.590,0.110,0.384,0.164,0.072,4.884,4.563,3.016,Africa
Iran,2021,4.721,1.030,0.557,0.561,0.275,0.330,0.144,4.828,4.614,1.823,Asia
Uganda,2021,4.636,0.364,0.718,0.240,0.398,0.267,0.054,4.780,4.493,2.596,Africa
Liberia,2021,4.625,0.228,0.580,0.253,0.430,0.221,0.057,4.833,4.417,2.857,Africa
Kenya,2021,4.607,0.603,0.508,0.385,0.483,0.375,0.073,4.747,4.466,2.180,Africa
Tunisia,2021,4.596,0.919,0.515,0.590,0.334,0.057,0.044,4.709,4.484,2.138,Africa
Lebanon,2021,4.584,1.045,0.868,0.595,0.175,0.140,0.026,4.691,4.477,1.736,Asia
Namibia,2021,4.574,0.882,0.801,0.262,0.411,0.091,0.059,4.700,4.448,2.068,Africa
Palestinian Territories,2021,4.517,0.646,0.819,0.434,0.330,0.082,0.075,4.649,4.384,2.131,Asia
Myanmar,2021,4.426,0.666,0.713,0.341,0.601,0.520,0.178,4.527,4.324,1.407,Asia
Jordan,2021,4.395,0.890,0.685,0.583,0.455,0.079,0.150,4.516,4.273,1.553,Asia
Chad,2021,4.355,0.255,0.353,0.000,0.240,0.215,0.084,4.540,4.171,3.209,Africa
Sri Lanka,2021,4.325,0.990,0.820,0.593,0.559,0.239,0.049,4.454,4.196,1.075,Asia
Swaziland,2021,4.308,0.849,0.693,0.074,0.323,0.067,0.147,4.448,4.168,2.155,Africa
Comoros,2021,4.289,0.488,0.367,0.279,0.202,0.241,0.101,4.454,4.123,2.610,Africa
Egypt,2021,4.283,0.954,0.647,0.426,0.446,0.069,0.092,4.371,4.195,1.648,Africa
Ethiopia,2021,4.275,0.370,0.679,0.331,0.451,0.241,0.114,4.374,4.175,2.089,Africa
Mauritania,2021,4.227,0.666,0.749,0.273,0.218,0.119,0.133,4.365,4.090,2.069,Africa
Madagascar,2021,4.208,0.266,0.503,0.341,0.207,0.185,0.087,4.349,4.068,2.620,Africa
Togo,2021,4.107,0.254,0.239,0.203,0.289,0.209,0.107,4.258,3.956,2.806,Africa
Zambia,2021,4.073,0.528,0.552,0.231,0.487,0.227,0.074,4.209,3.938,1.975,Africa
Sierra Leone,2021,3.849,0.279,0.377,0.100,0.408,0.243,0.047,4.001,3.698,2.396,Africa
India,2021,3.819,0.741,0.316,0.383,0.622,0.246,0.106,3.869,3.769,1.405,Asia
Burundi,2021,3.775,0.000,0.062,0.155,0.298,0.172,0.212,3.985,3.565,2.876,Africa
Yemen,2021,3.658,0.329,0.831,0.272,0.268,0.092,0.089,3.794,3.521,1.776,Asia
Tanzania,2021,3.623,0.433,0.540,0.300,0.549,0.307,0.231,3.762,3.485,1.263,Africa
Haiti,2021,3.615,0.294,0.173,0.227,0.257,0.463,0.139,3.953,3.276,2.060,North America
Malawi,2021,3.600,0.113,0.168,0.298,0.484,0.213,0.134,3.781,3.419,2.190,Africa
Lesotho,2021,3.512,0.451,0.731,0.007,0.405,0.103,0.015,3.748,3.276,1.800,Africa
Botswana,2021,3.467,1.099,0.724,0.340,0.539,0.027,0.088,3.611,3.322,0.648,Africa
Rwanda,2021,3.415,0.364,0.202,0.407,0.627,0.227,0.493,3.548,3.282,1.095,Africa
Zimbabwe,2021,3.145,0.457,0.649,0.243,0.359,0.157,0.075,3.259,3.030,1.205,Africa
Afghanistan,2021,2.523,0.370,0.000,0.126,0.000,0.122,0.010,2.596,2.449,1.895,Asia